Id,Title,Excerpt,Description,Synonyms,Variations,Categories,Abbreviation,Tags,Image,_cmtt_highlightFirstOnly,_cmtt_disable_acf_for_page,_cmtt_new_page_exception,_cmtt_exclude_parsing,_cmtt_exclude_tooltip,_cmtt_disable_related_articles_for_term,_cmtt_hide_from_index,_cmtt_exclude_google_api,_cmtt_exclude_merriam_api,_cmtt_exclude_merriam_thesaurus_api,_cmtt_exclude_glosbe_dictionary_api,_cmtt_featured_image_position,_cmtt_featured_image_size,_cmtt_term_icon,_cmtt_term_icon_color,_cmtt_term_icon_position,cmtt_abbreviations,_glossary_related_article
15299,Armor,"An additional number displayed next to a unit’s power number. Whenever damage is dealt to an armored unit, it is first subtracted from the armor count and then any excess is then subtracted from that unit’s power...","An additional number displayed next to a unit’s power number.

Whenever damage is dealt to an armored unit, it is first subtracted from the armor count and then any excess damage is subtracted from that unit’s power.",,,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"   666px",,0,left,,
15301,"Tall punish","A term that describes cards that punish either investing too many points into one unit or just playing very high power units...","A term that describes cards that punish either investing too many points into one unit or just playing very high power units. Opposite of wide punish.

<strong><span style=""text-decoration: underline;"">Example</span></strong>: Geralt of Rivia, Leo Bonhart, Vilgefortz, Bloody Baron.","Tall Removal","Tall Removal",gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"  666px",,0,left,,
15303,Archetype,"A classification of decks usually based on either the speed at which they play out or in games that do not employ “Mana” as a resource (such as Gwent), the style in which a deck plays out...","<p data-select-like-a-boss=""1"">A classification of decks usually based on either the speed at which they play out or in games that do not employ “Mana” as a resource (such as Gwent), the style in which a deck plays out.</p>
Archetypes in Gwent include but are not necessarily limited to:
<ul>
 	<li><span style=""font-weight: 400;"">Swarm</span></li>
 	<li><span style=""font-weight: 400;"">Hyperthin</span></li>
 	<li><span style=""font-weight: 400;"">Midrange</span></li>
 	<li><span style=""font-weight: 400;"">Control</span></li>
 	<li><span style=""font-weight: 400;"">No-unit</span></li>
 	<li><span style=""font-weight: 400;"">Point-slam</span></li>
 	<li><span style=""font-weight: 400;"">Engine overload</span></li>
</ul>
<span style=""font-weight: 400;"">Do keep in mind, however, that most of these definitions are pretty loose and most of the decks are usually a combination of several archetypes rather than falling exclusively into one.</span>",,Archetypes,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"   100px",,0,left,,
15305,Swarm,"A deck that generates a massive number of (usually) small tokens and then using swarm pay-off cards to win the game...","<span style=""font-weight: 400;"">A deck archetype that generates a massive number of (usually) small tokens and then using swarm pay-off cards to win the game. An example of such a deck would be the “Elf Swarm” deck. This deck tends to fill the board with elves to eventually take advantage of its pay-off cards such as “The Great Oak” or “Isengrim Faoiltiarna” that gain more value as you swarm the board.</span>",Swarming,,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"   666px",,0,left,,
15340,Control,"Same as Midrange but with more focus on removal and disrupting your opponent’s game plan rather than putting points on the board...","<span style=""font-weight: 400;"">A deck archetype that is the same as Midrange but with more focus on removal and disrupting your opponent’s game plan rather than putting points on the board.&nbsp;</span>",,,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"  666px",,0,left,,
15402,"Wild Boar of the Sea",,"<div style=""width:250px;background:#a18c6c;padding:5px;color:black""><img class=""aligncenter size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/wild_boar_of_the_sea.jpg?v=1629370679135"" alt="""" width=""249"" height=""357"">
<strong>Wild Boar of the Sea</strong>

<em>Machine, Ship</em>

<span class=""keyword Deploy"">Deploy</span> (<span class=""keyword melee"">Melee</span>): Damage all damaged enemy units by 1, then damage all enemy units by 1.
</div>","Wild Boar",,gwent_card,,,,0,0,0,0,0,0,0,0,0,0,0,,"      100px",,,left,,
15431,Hyperthin,"A deck archetype that tries to thin to a very small number of cards so that you can control precisely what you have left in your deck in order to play your hyperthin pay-off cards without their potential drawbacks...","<span style=""font-weight: 400;"">A deck archetype that tries to thin to a very small number of cards so that you can control precisely what you have left in your deck in order to play your hyperthin pay-off cards without their potential drawbacks. For instance, a Nilfgaard Hyperthin deck strives to thin the deck to the point where it has only 2 (or occasionally 1) high power units left in the deck. By doing so it ensures that cards like “Yennefer: Divination”, “Triss Merigold”, “Vilgefortz” and “Xarthisius” gain insane amounts of value to close out the round.</span>",Hyperpile,Hyperpile,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"  666px",,0,left,,
15435,Midrange,"A deck archetype that has a healthy combination of Control cards (cards that remove a threat from your opponent’s side) and high-value cards...","<span style=""font-weight: 400;"">A deck archetype that has a healthy combination of Control cards (cards that remove a threat from your opponent’s side) and high-value cards. An example of such a deck would be Arachas Swarm Organics that has a good number of high-value plays in “Yghern”, “Golyat” and the like combined with a plethora of removal options such as “Parasite” or “Hideous Feast”.</span>",,,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"  666px",,0,left,,
15437,No-unit,"A very infamous category of control decks that play tends to not play many units and thereby denying a lot of value on the cards that interact with the opposing board by any means. No example given for obvious reasons.","<span style=""font-weight: 400;"">A very infamous category of control decks that tends to not play many units and thereby denying a lot of value on the cards that interact with the opposing board by any means. No example given for obvious reasons.</span>",,"Decadence, Degenerate, Degeneracy",gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"   666px",,0,left,,
15439,Point-slam,"An archetype of decks that revolve around putting a lot of points on the board with little to no regard to what your opponent is playing...","<span style=""font-weight: 400;"">An archetype of decks (or just playstyle) that revolves around putting a lot of points on the board with little to no regard to what your opponent is playing. An example of such a deck would be the Skellige Scenario deck or any deck that uses Fruits of Ysgith as the leader ability. The former includes a very low number of removal options and usually wins through playing engines that gain massive amounts of value per turn.</span>",,"Point slam, pointslam",gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"   666px",,0,left,,
15441,"Engine overload","A type of deck that plays an enormous number of engine units to overwhelm the opponent as they likely will not be able to answer all of them.","<span style=""font-weight: 400;"">A deck archetype that plays an enormous number of engine units to overwhelm the opponent, as they will not be able to effectively answer all of them.</span>",,Engine-overload,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"    666px",,0,left,,
15447,AQ,"Short for “Arachas Queen”. This refers to the “Arachas Swarm” leader ability.","<span style=""font-weight: 400;"">Short for “Arachas Queen”. This refers to the “Arachas Swarm” leader ability.</span>",,,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"   666px",,0,left,,
15449,Baiting,"Deceiving an opponent into playing in a certain way, be it committing a certain card, playing slowly or aggressively...
","<!-- wp:html -->
<p><span style=""font-weight: 400;"">Deceiving an opponent into playing in a certain way, be it committing a certain card, playing too slowly or aggressively.</span></p>
<p><strong><span style=""text-decoration: underline;"">Example</span></strong><span style=""font-weight: 400;"">: You are about to play a unit with 5 power that is going to gain a tremendous amount of value if it lives until the next turn. However, you know (or suspect) that your opponent may have a copy of Alzurs Thunder in their deck that can deal 5 damage to any unit, thereby capable of killing your 5 power unit after you play it.</span></p>
<p><span style=""font-weight: 400;"">To play around this, you can throw another target at your opponent for them to use their Alzurs Thunder on, essentially sacrificing it so that your power play goes through. In this <span class=""no-tooltip"">scenario,</span> you are trying to </span><b>bait</b><span style=""font-weight: 400;""> your opponent’s removal card.</span></p>
<!-- /wp:html -->

<!-- wp:tadv/classic-paragraph /-->",,Bait,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"   666px",,0,left,,
15451,Bleeding,"Opposite of dry-passing, refers to the act of playing deeper into a round with the intent of stripping your opponent of one (or more) of their power plays (win conditions) or otherwise, with the intent of simply shortening the following rounds so that certain cards on the opposing side play for less value...","<span style=""font-weight: 400;"">Opposite of dry-passing, refers to the act of playing deeper into a round with the intent of stripping your opponent of one (or more) of their power plays (win conditions) or otherwise, with the intent of simply shortening the following rounds so that certain cards on the opposing side play for less value. Be advised however that this strategy takes practice to master and can backfire extremely hard if done without moderation.</span>

<span style=""font-weight: 400;"">The strategy is usually employed in the second round by the player who has won the first round, but it can refer to playing deep into the first round with the intention of blocking your opponent from bleeding you in the second round. </span><span style=""font-weight: 400;"">Moreover, bleeding can occur in Round 1, in which case it means playing as deep as possible into the round while maintaining reach, potentially trading-up with the opponent and forcing out their gold cards. This can be especially effective if you know that their game plan relies on winning the first round.</span>

<strong><span style=""text-decoration: underline;"">Example</span></strong><span style=""font-weight: 400;"">: Assume you are playing against a deck that you know has two significant win conditions. You managed to win the first round, but you know that you cannot win another round unless you strip the opponent off of at least one of their win conditions. </span><span style=""font-weight: 400;"">Therefore, you play into the second round with the intention of forcing your opponent to commit one of their power plays, weakening their following round significantly so that you have a way better shot at winning the game.</span>",,"Bleed, Bleeding, Bled, Bleeds",gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"     666px",,0,left,,
15453,"Blue Coin","Refers to being the first person to act when the match starts...","<span style=""font-weight: 400;"">Refers to being the first person to act when the match starts. During the beta phase of the game, acting first or second was respectively signified with a blue or a red coin, hence the expression.</span>",,,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"  666px",,0,left,,
15455,BM,"Bad Manners...","<span style=""font-weight: 400;"">Bad Manners. A term used to describe intentionally obnoxious behavior for various reasons including but not limited to frustrating and irritating the opponent, gloating or simply dragging the game out as to inconvenience the opponent.</span>

<span style=""font-weight: 400;"">Usually enacted through playing deliberately slowly (even if the play is obvious), intentionally playing suboptimally to humiliate the opponent, or emoting excessively.</span>",,,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"   666px",,0,left,,
15457,"Card Advantage","Refers to having more cards in hand than your opponent at the start of a round...","<span style=""font-weight: 400;"">Refers to having more cards in hand than your opponent at the start of a round. Card advantage is extremely valuable in Gwent for a variety of reasons and in some cases, equals an uncontested victory.</span>",,CA,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"    666px",,0,left,,
15459,Carryover,"Any form of value for subsequent rounds...","<span style=""font-weight: 400;"">Any form of value for subsequent rounds.</span>

<strong><span style=""text-decoration: underline;"">Example 1</span></strong><span style=""font-weight: 400;"">: If any unit with the “Resilience” tag survives the round in which it was played (such as Vandergrift for example) it will have generated carryover points into the next round.</span>

<strong><span style=""text-decoration: underline;"">Example 2</span></strong><span style=""font-weight: 400;"">: Suppose you play Naglfar in the second round. Naglfar shows you two random gold cards, you get to play one and the next one is put on top of your deck. Therefore, you will have created carryover for the following round by playing Naglfar because you put a gold card on top of your deck.</span>

<strong><span style=""text-decoration: underline;"">Example 3</span></strong><span style=""font-weight: 400;"">: You have Hawker Smuggler in play, boosting a random unit in your hand at the end of each turn. As long as you don’t play the boosted units, those boosts will count as carryover, as you can spend them in subsequent rounds.</span>",,Carry-over,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"   666px",,0,left,,
15461,"Coin-flip Abuse","See “Red Coin Abuse”.","<span style=""font-weight: 400;"">See “Red Coin Abuse”.</span>",,,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,," 666px",,0,left,,
15463,Consistency,"How well a deck can repeatedly execute its game plan.
","<span style=""font-weight: 400;"">How well a deck can repeatedly execute its game plan.</span>",,Consistent,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,," 666px",,0,left,,
15465,Dry-pass,"Opposite of bleeding, a term that describes passing a round (usually the second round) without playing any cards...","<span style=""font-weight: 400;"">The opposite of bleeding, dry-pass is a term that describes passing a round (usually the second round) without playing any cards. The act of dry-passing can only be done by the player who won the first round. The reasons for dry-passing include but are not limited to:</span>
<ul>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Hand quality not being good enough to efficiently execute a bleed and therefore you would be forced to pass or risk giving your opponent card advantage.</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Round is too short for a bleed to be viable without losing a card.</span></li>
 	<li style=""font-weight: 400;""><span style=""font-weight: 400;"">Your long round is considerably better than your opponents so you gain nothing by actually attempting to bleed.</span></li>
</ul>",,"Dry pass, dry passing, dry-passing, dry passes, dry-passes, dry passed, dry-passed",gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"   666px",,0,left,,
15468,Engine,"Any card that generates value over time...","<span style=""font-weight: 400;"">Any card that generates value over time.</span>

<span style=""text-decoration: underline;""><strong>Examples</strong></span><span style=""font-weight: 400;"">: Any card with the “Thrive” tag is considered an engine as they will get buffed whenever you play another unit that is greater than their current power. “Reinforced Trebuchet” is an engine because at the end of each turn it deals 1 damage to a unit on the Ranged row thereby generating 1 point per turn.</span>",,Engines,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"  666px",,0,left,,
15472,"Elder Bears","A gwent slang term referring mostly to the cards “Damien de la Tour” and “Steffan Skellen” (or any expensive Order card) that will effectively play as an overpriced “Elder Bear” card if shut down.","<span style=""font-weight: 400;"">A Gwent slang term referring mostly to the cards “Damien de la Tour” and “Stefan Skellen” (or any expensive Order card) that will effectively play as an overpriced “Elder Bear” card if shut down.</span>",,"Elder Bear",gwent,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
15474,"First say","Acting first in the second or the third round. Not to be confused with Blue Coin.
","<span style=""font-weight: 400;"">Acting first in the second or the third round. Not to be confused with Blue Coin.</span>",,,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,," 666px",,0,left,,
15476,Finisher,"Refers to the final play of each side which is usually expected to be a massive point swing...","<span style=""font-weight: 400;"">Refers to the final play of each side which is usually expected to be a massive point swing. Also, see “Win Condition”.</span>",,Finishers,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"  666px",,0,left,,
15478,fMMR,"Short for “faction MatchMaking Rating”. See “MMR” for more details.
","<span style=""font-weight: 400;"">Short for “faction MatchMaking Rating”. See “MMR” for more details.</span>",,,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,," 666px",,0,left,,
15480,"GG (WP)","Short for “Good Game (Well Played)”...","<span style=""font-weight: 400;"">Short for “Good Game (Well Played)”.&nbsp; After a game ends there’s a “GG” button in the post-match screen that sends your opponent a smattering amount of resources as appreciation for the game you just played.</span>","GG WP, GG","GG WP, GG",gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"  666px",,0,left,,
15482,Greedy,"An adjective used to describe a deck that relies heavily on either drawing the correct cards in the correct rounds, having some key cards stick to the board with little protection, or high-rolling off of random-based cards to win the game.","An adjective used to describe a deck that relies heavily on either drawing the correct cards in the correct rounds, having some key cards stick to the board with little protection, or high-rolling off of random-based cards to win the game.",,"Greedier, Greed, greediest",gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"   666px",,0,left,,
15484,High-roll,"Opposite of low-roll. A term used to describe one of the better outcomes of a random event in the game...","<span style=""font-weight: 400;"">Opposite of low-roll. A term used to describe one of the better outcomes of a random event in the game.</span>

<span style=""text-decoration: underline;""><strong>Example</strong></span><span style=""font-weight: 400;"">: Suppose you play the “Bribery” card which offers a random choice of 3 cards (including bronzes) from your opponent’s deck for you to pick and play one. Now if you get an extremely valuable gold card in the choice of 3 cards, you will have high-rolled.</span>",,"High roll, high rolls, high-rolling, high rolling",gwent,,,,0,0,0,0,0,0,0,0,0,0,0,,"  666px",,0,left,,
15486,Ladder,"Ranked play.
","<span style=""font-weight: 400;"">Ranked play.</span>",,,gwent,,,,0,0,0,0,0,0,0,0,0,0,0,," 666px",,0,left,,
