"Id","Title","Excerpt","Description","Synonyms","Variations","Categories"
"","Ciri","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/ciri.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Ciri</strong>

<em>Witcher</em>

Whenever you lose a round, return this unit from the battlefield to your hand.
","","","gwent_card"
"","Geralt: Igni","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/geralt_igni.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Geralt: Igni</strong>

<em>Witcher</em>

<span class=""keyword deploy"">Deploy</span>, <span class=""keyword initiative"">Initiative</span>: Destroy the highest-power unit on an enemy row with a total of 20 or more power.
","Igni","","gwent_card"
"","Geralt of Rivia","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/geralt_of_rivia.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Geralt of Rivia</strong>

<em>Witcher</em>

<span class=""keyword deploy"">Deploy</span>: Destroy an enemy unit with 9 or more power.
","","","gwent_card"
"","Regis","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/regis.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Regis</strong>

<em>Vampire</em>

<span class=""keyword deploy"">Deploy</span>: Damage all enemy units on a row by 1. If any were destroyed, repeat this ability.
","","","gwent_card"
"","Regis: Higher Vampire","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/regis_higher_vampire.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Regis: Higher Vampire</strong>

<em>Vampire</em>

<span class=""keyword order"">Order</span> (<span class=""keyword melee"">Melee</span>): <span class=""keyword drain"">Drain</span> an enemy by the amount of boost it has.
","","","gwent_card"
"","Triss Merigold","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/triss_merigold.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Triss Merigold</strong>

<em>Human, Mage</em>

<span class=""keyword deploy"">Deploy</span> (<span class=""keyword ranged"">Ranged</span>): <span class=""keyword reveal"">Reveal</span> a random unit from your deck and damage an enemy unit by its power.
","","","gwent_card"
"","Villentretenmerth","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/villentretenmerth.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Villentretenmerth</strong>

<em>Dragon</em>

After 2 allied turns, on turn end, destroy the highest unit on the battlefield, excluding self.
","","","gwent_card"
"","Yennefer of Vengerberg","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/yennefer_of_vengerberg.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Yennefer of Vengerberg</strong>

<em>Human, Mage</em>

<span class=""keyword deploy"">Deploy</span> (<span class=""keyword melee"">Melee</span>): Damage all other units by 2. 
<span class=""keyword deploy"">Deploy</span> (<span class=""keyword ranged"">Ranged</span>): Boost all other units by 2.
","","","gwent_card"
"","Zoltan: Scoundrel","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/zoltan_scoundrel.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Zoltan: Scoundrel</strong>

<em>Dwarf</em>

<span class=""keyword deploy"">Deploy</span> (<span class=""keyword melee"">Melee</span>): <span class=""keyword spawn"">Spawn</span> and play Duda: Agitator.
<span class=""keyword deploy"">Deploy</span> (<span class=""keyword ranged"">Ranged</span>): <span class=""keyword spawn"">Spawn</span> and play Duda: Companion.
","","","gwent_card"
"","Ciri: Dash","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/ciri_dash.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Ciri: Dash</strong>

<em>Witcher</em>

After 5 allied turns, on turn end, draw a card.
","","","gwent_card"
"","Geralt: Aard","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/geralt_aard.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Geralt: Aard</strong>

<em>Witcher</em>

<span class=""keyword deploy"">Deploy</span> (<span class=""keyword melee"">Melee</span>): Damage 3 enemy units by 2, then move them to the ranged row.
","","","gwent_card"
"","Avallac'h: Sage","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/avallach_sage.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Avallac'h: Sage</strong>

<em>Elf, Mage</em>

<span class=""keyword deploy"">Deploy</span> (<span class=""keyword ranged"">Ranged</span>): Play an artifact from your deck.
","Avallach: Sage","","gwent_card"
"","Yennefer: Conjurer","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/yennefer_conjurer.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Yennefer: Conjurer</strong>

<em>Human, Mage</em>

<span class=""keyword order"">Order</span>: Damage the highest enemy unit(s) by 1. 
<span class=""keyword cooldown"">Cooldown</span>: 1.
","","","gwent_card"
"","Dudu","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/dudu.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Dudu</strong>

<em>Relict</em>

<span class=""keyword deploy"">Deploy</span>: Transform into a base copy of an enemy unit.
","","","gwent_card"
"","Eskel","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/eskel.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Eskel</strong>

<em>Witcher</em>

<span class=""keyword deploy"">Deploy</span>: <span class=""keyword summon"">Summon</span> Vesemir and Lambert from your deck to this row.
","","","gwent_card"
"","Vesemir","","<img class=""aligncenter wp-image-15599 size-full"" src=""https://teamleviathangaming.com/wp-content/uploads/gwent_cards/vesemir.jpg?v=1585826911461"" alt="""" width=""249"" height=""357"">
<strong>Vesemir</strong>

<em>Witcher</em>

<span class=""keyword deploy"">Deploy</span>: <span class=""keyword summon"">Summon</span> Eskel and Lambert from your deck to this row.
","","","gwent_card"
